Expense For?,Amount?,Payment?,Expense Date?,Description?,Status?,Paid By?,,SOURCE,STATUS,TOTAL
embah,"Rp500,000",SALARY,,,,,,BCA,PAID,"Rp3,308,016"
spp ruby,"Rp400,000",SALARY,,,UNPAID,,,,UNPAID,"Rp1,309,952"
mobil,"Rp4,200,000",SALARY,,installment: 31/96,UNPAID,,,JENIUS,PAID,"Rp1,046,629"
rumah,"Rp5,850,000",SALARY,,,UNPAID,,,,UNPAID,"Rp592,375"
hp teteh,"Rp97,168",CC TOKPED CARD,,installment: 11/12,,TETEH,,TOKPED,PAID,"Rp488,847"
alva n3,"Rp1,600,708",CC TOKPED CARD,,installment: 9/12,UNPAID,,,,UNPAID,"Rp2,686,633"
biznet,"Rp310,938",CC TOKPED CARD,,installment: 9/12,UNPAID,,,UOB,PAID,"Rp368,769"
pajak kedelai,"Rp304,634",CC TOKPED CARD,,installment: 6/12,UNPAID,,,,UNPAID,"Rp1,286,063"
sofa,"Rp470,353",CC TOKPED CARD,,installment: 4/12,UNPAID,,,MANDIRI,PAID,"Rp223,000"
ipad,"Rp488,847",CC TOKPED CARD,,installment: 4/12,PAID,,,,UNPAID,"Rp1,300,041"
motor,"Rp1,040,682",CC MANDIRI,,installment: 10/24,UNPAID,,,BNI,PAID,"Rp2,469,922"
pesawat kepin,"Rp345,946",CC MANDIRI,,installment: 9/12,,KEVIN,,,UNPAID,Rp0
hostinger,"Rp120,467",CC MANDIRI,,installment: 6/24,UNPAID,,,SALARY,UNPAID,"Rp18,125,364"
github copilot,"Rp138,892",CC MANDIRI,,installment: 6/12,UNPAID,,,,,
macbook m5,"Rp1,555,516",CC MANDIRI,,installment: 5/18,,VINCENT,,,,
kasbon teteh,"Rp933,335",CC MANDIRI BONVOY,,installment: 3/6,,TETEH,,,,
iphone 17 pro max,"Rp1,075,649",CC MANDIRI BONVOY,,installment: 2/24,PAID,,,,,
sepatu kepin ,"Rp153,170",CC JENIUS,,installment: 8/12,,KEPIN,,,,
hp teteh,"Rp100,000",CC JENIUS,,installment: 9/12,,TETEH,,,,
pajak mbaintan,"Rp376,671",CC JENIUS,,installment: 8/12,,MBAKINTAN,,,,
shopee,"Rp660,065",CC JENIUS,,installment: 5/6,,MBAKINTAN,,,,
tiket.com,"Rp586,966",CC JENIUS,,installment: 2/6,PAID,,,,,
pt gym,"Rp592,375",CC JENIUS,,installment: 2/6,UNPAID,,,,,
anytime fitness,"Rp212,500",CC BCA,,installment: 11/12,,OWEN,,,,
birkenstock,"Rp336,020",CC BCA,,installment: 3/12,UNPAID,,,,,
chopper,"Rp236,239",CC BCA,,installment: 2/3,UNPAID,,,,,
case iphone,"Rp228,403",CC BCA,,installment: 2/3,UNPAID,,,,,
alva one,"Rp1,400,000",CC BNI,,installment: 8/24,PAID,,,,,
sekolah ruby,"Rp1,286,063",CC UOB,,installment: 8/48,UNPAID,,,,,
iphone 17 pro max,"Rp1,031,208",CC DIGIBANK,,installment: 2/24,PAID,,,,,
netflix,"Rp186,000",CC BCA,,subscribe,UNPAID,,,,,
youtube premium,"Rp154,290",CC BCA,,subscribe,UNPAID,,,,,
icloud,"Rp169,000",CC BCA,,subscribe,UNPAID,,,,,
fuji asa foto,"Rp42,000",CC BNI,4/14/2026,dapurbuwikra,PAID,,,,,
es podeng,"Rp60,000",CC BNI,4/15/2026,,PAID,,,,,
pasar ayam,"Rp90,000",CC BNI,4/19/2026,dapurbuwikra,PAID,,,,,
pasar ikan,"Rp240,000",CC BNI,4/19/2026,dapurbuwikra,PAID,,,,,
pasar sayur,"Rp100,000",CC BNI,4/19/2026,dapurbuwikra,PAID,,,,,
pasar sembako,"Rp35,000",CC BNI,4/19/2026,dapurbuwikra,PAID,,,,,
pasar cabe,"Rp49,000",CC BNI,4/19/2026,dapurbuwikra,PAID,,,,,
mixue,"Rp24,000",CC BNI,4/19/2026,,PAID,,,,,
grab,"Rp14,000",CC MANDIRI,4/20/2026,,PAID,,,,,
hermina,"Rp9,300",CC BNI,4/22/2026,,PAID,,,,,
shopee,"Rp368,769",CC UOB,4/22/2026,logitech g304,PAID,,,,,
grab,"Rp15,500",CC BCA,4/22/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,4/23/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,4/23/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,4/23/2026,,PAID,,,,,
grabfood,"Rp9,840",CC BCA,4/23/2026,,PAID,,,,,
hermina,"Rp18,600",CC BNI,4/24/2026,,PAID,,,,,
grabfood,"Rp10,840",CC BCA,4/24/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,4/24/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,4/24/2026,,PAID,,,,,
grabfood,"Rp2,000",CC BCA,4/24/2026,,PAID,,,,,
grabfood,"Rp78,000",CC BCA,4/24/2026,,PAID,,,,,
grab,"Rp8,500",CC BCA,4/24/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,4/24/2026,,PAID,,,,,
roblox,"Rp19,980",CC BCA,4/24/2026,,PAID,MBAINTAN,,,,
grabfood,"Rp39,800",CC BCA,4/24/2026,,PAID,,,,,
diamond,"Rp563,572",CC JENIUS,4/25/2026,dapurbuwikra,,,,,,
pasar,"Rp190,000",CC MANDIRI,4/25/2026,dapurbuwikra,,,,,,
pasar,"Rp35,000",CC MANDIRI,4/25/2026,dapurbuwikra,PAID,,,,,
pasar,"Rp23,000",CC MANDIRI,4/25/2026,dapurbuwikra,PAID,,,,,
pasar,"Rp16,500",CC MANDIRI,4/25/2026,dapurbuwikra,PAID,,,,,
pasar,"Rp240,000",CC MANDIRI,4/25/2026,dapurbuwikra,,,,,,
shopee,"Rp184,610",CC BCA,4/25/2026,sabun,PAID,,,,,
shopee,"Rp234,820",CC BCA,4/25/2026,,PAID,,,,,
shopee,"Rp216,866",CC BCA,4/25/2026,mag wallet,PAID,,,,,
grab,"Rp14,500",CC BCA,4/25/2026,,PAID,,,,,
grabfood,"Rp39,500",CC BCA,4/25/2026,,PAID,,,,,
grab,"Rp13,500",CC BCA,4/25/2026,,PAID,,,,,
tokopedia,"Rp270,025",CC BCA,4/25/2026,case srintil,PAID,,,,,
hermina,"Rp41,000",CC BNI,4/26/2026,,PAID,,,,,
jahitan,"Rp20,000",CC BNI,4/26/2026,,PAID,,,,,
pecel bmw,"Rp24,000",CC BNI,4/26/2026,,PAID,,,,,
grabfood,"Rp93,001",CC BCA,4/26/2026,,PAID,,,,,
kintan,"Rp1,043,570",CC JENIUS,4/26/2026,,,,,,,
uniqlo,"Rp598,000",CC JENIUS,4/26/2026,,,,,,,
uniqlo split ,"Rp348,000",CC JENIUS,4/26/2026,,PAID,,,,,
hermina,"Rp8,902",CC BNI,4/26/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,4/27/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,4/27/2026,,PAID,,,,,
grabfood,"Rp21,840",CC BCA,4/27/2026,,PAID,,,,,
shopee,"Rp46,800",CC BCA,4/27/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,4/27/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,4/28/2026,,PAID,,,,,
grabfood,"Rp51,167",CC BCA,4/28/2026,,PAID,,,,,
shopeefood,"Rp59,800",CC BCA,4/28/2026,,PAID,,,,,
pertamax green,"Rp212,000",CC BCA,4/28/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,4/29/2026,,PAID,,,,,
grabfood,"Rp20,875",CC BCA,4/29/2026,,PAID,,,,,
grabfood,"Rp15,500",CC BCA,4/29/2026,,PAID,,,,,
hermina,"Rp9,300",CC BNI,4/29/2026,,PAID,,,,,
hermina,"Rp9,300",CC BNI,4/29/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,4/30/2026,,PAID,,,,,
grab,"Rp7,000",CC BCA,4/30/2026,,PAID,,,,,
grabfood,"Rp38,474",CC BCA,4/30/2026,,PAID,,,,,
grabfood,"Rp23,643",CC BCA,4/30/2026,,PAID,,,,,
